backend,scenario,iteration,concurrency,duration_ms,status_code,throughput_ops_sec
local,write_throughput,0,1,3.706,200,269.82
local,write_throughput,0,5,10.236,200,488.484
local,write_throughput,0,10,32.351,200,309.111
local,write_throughput,0,20,101.784,200,196.494
gcsfuse,write_throughput,0,1,477.395,200,2.095
gcsfuse,write_throughput,0,5,778.863,200,6.42
gcsfuse,write_throughput,0,10,916.613,200,10.91
gcsfuse,write_throughput,0,20,1338.836,200,14.938
